1.000000e-06 3.581674e-06 
1.100000e-05 3.937367e-05 
2.100000e-05 7.515526e-05 
3.100000e-05 1.109322e-04 
4.100000e-05 1.467063e-04 
5.100000e-05 1.824778e-04 
6.100000e-05 2.182475e-04 
7.100000e-05 2.540157e-04 
8.100000e-05 2.897827e-04 
9.100000e-05 3.255484e-04 
1.010000e-04 3.613132e-04 
1.110000e-04 3.970770e-04 
1.210000e-04 4.328400e-04 
1.310000e-04 4.686022e-04 
1.410000e-04 5.043637e-04 
1.510000e-04 5.401245e-04 
1.610000e-04 5.758847e-04 
1.710000e-04 6.116444e-04 
1.810000e-04 6.474035e-04 
1.910000e-04 6.831620e-04 
2.010000e-04 7.189201e-04 
2.110000e-04 7.546778e-04 
2.210000e-04 7.904350e-04 
2.310000e-04 8.261917e-04 
2.410000e-04 8.619481e-04 
2.510000e-04 8.977041e-04 
2.610000e-04 9.334597e-04 
2.710000e-04 9.692149e-04 
2.810000e-04 1.004970e-03 
2.910000e-04 1.040724e-03 
3.010000e-04 1.076479e-03 
3.110000e-04 1.112233e-03 
3.210000e-04 1.147986e-03 
3.310000e-04 1.183740e-03 
3.410000e-04 1.219493e-03 
3.510000e-04 1.255245e-03 
3.610000e-04 1.290998e-03 
3.710000e-04 1.326750e-03 
3.810000e-04 1.362502e-03 
3.910000e-04 1.398254e-03 
4.010000e-04 1.434006e-03 
4.110000e-04 1.469757e-03 
4.210000e-04 1.505508e-03 
4.310000e-04 1.541259e-03 
4.410000e-04 1.577010e-03 
4.510000e-04 1.612760e-03 
4.610000e-04 1.648510e-03 
4.710000e-04 1.684260e-03 
4.810000e-04 1.720010e-03 
4.910000e-04 1.755760e-03 
5.010000e-04 1.791509e-03 
5.110000e-04 1.827258e-03 
5.210000e-04 1.863008e-03 
5.310000e-04 1.898756e-03 
5.410000e-04 1.934505e-03 
5.510000e-04 1.970254e-03 
5.610000e-04 2.006002e-03 
5.710000e-04 2.041750e-03 
5.810000e-04 2.077498e-03 
5.910000e-04 2.113246e-03 
6.010000e-04 2.148994e-03 
6.110000e-04 2.184742e-03 
6.210000e-04 2.220489e-03 
6.310000e-04 2.256236e-03 
6.410000e-04 2.291983e-03 
6.510000e-04 2.327730e-03 
6.610000e-04 2.363477e-03 
6.710000e-04 2.399224e-03 
6.810000e-04 2.434971e-03 
6.910000e-04 2.470717e-03 
7.010000e-04 2.506463e-03 
7.110000e-04 2.542209e-03 
7.210000e-04 2.577955e-03 
7.310000e-04 2.613701e-03 
7.410000e-04 2.649447e-03 
7.510000e-04 2.685193e-03 
7.610000e-04 2.720938e-03 
7.710000e-04 2.756684e-03 
7.810000e-04 2.792429e-03 
7.910000e-04 2.828174e-03 
8.010000e-04 2.863919e-03 
8.110000e-04 2.899664e-03 
8.210000e-04 2.935409e-03 
8.310000e-04 2.971154e-03 
8.410000e-04 3.006898e-03 
8.510000e-04 3.042643e-03 
8.610000e-04 3.078387e-03 
8.710000e-04 3.114131e-03 
8.810000e-04 3.149875e-03 
8.910000e-04 3.185619e-03 
9.010000e-04 3.221363e-03 
9.110000e-04 3.257107e-03 
9.210000e-04 3.292851e-03 
9.310000e-04 3.328595e-03 
9.410000e-04 3.364338e-03 
9.510000e-04 3.400082e-03 
9.610000e-04 3.435825e-03 
9.710000e-04 3.471568e-03 
9.810000e-04 3.507311e-03 
9.910000e-04 3.543054e-03 
